BuildingID,addr_full,lng,lat
"93750","679 MAGENTA STREET BRONX NY 10467","-73.8678","40.8755"
"25366","36 MARBLE HILL AVENUE MANHATTAN NY 10463","-73.9099","40.8754"
"89002","3120 JEROME AVENUE BRONX NY 10468","-73.8881","40.8754"
"117797","3128 VILLA AVENUE BRONX NY 10468","-73.8871","40.8753"
"73786","183 EAST MOSHOLU PARKWAY NORTH BRONX NY 10467","-73.8812","40.8752"
"25357","16 MARBLE HILL AVENUE MANHATTAN NY 10463","-73.9104","40.8749"
"67437","241 EAST 206 STREET BRONX NY 10467","-73.8814","40.8748"
"43763","111 WEST 225 STREET MANHATTAN NY 10463","-73.9107","40.8748"
"67325","225 EAST 204 STREET BRONX NY 10458","-73.8851","40.8747"
"78598","3326 FISH AVENUE BRONX NY 10469","-73.8489","40.8746"
"806431","3228 DECATUR AVENUE BRONX NY 10467","-73.875","40.8746"
"101468","3235 PARKSIDE PLACE BRONX NY 10467","-73.8743","40.8745"
"109282","3313 SEYMOUR AVENUE BRONX NY 10469","-73.8483","40.8743"
"48049","759 BARTHOLDI STREET BRONX NY 10467","-73.8646","40.8742"
"109278","3309 SEYMOUR AVENUE BRONX NY 10469","-73.8482","40.8742"
"109272","3302 SEYMOUR AVENUE BRONX NY 10469","-73.8476","40.8741"
"117785","3090 VILLA AVENUE BRONX NY 10468","-73.8877","40.8741"
"102917","3158 PERRY AVENUE BRONX NY 10467","-73.8776","40.874"
"102915","3149 PERRY AVENUE BRONX NY 10467","-73.8779","40.8738"
"67415","345 EAST 205 STREET BRONX NY 10467","-73.876","40.8737"
"108537","2837 SEDGWICK AVENUE BRONX NY 10468","-73.9022","40.8735"
"57624","3311 COLDEN AVENUE BRONX NY 10469","-73.8596","40.8735"
"99514","2181 ENGLAND THRUWAY SR BRONX NY 10475","-73.8272","40.8735"
"46757","3070 BAINBRIDGE AVENUE BRONX NY 10467","-73.8793","40.8734"
"120425","2856 WEBB AVENUE BRONX NY 10468","-73.9003","40.8734"
"120421","2849 WEBB AVENUE BRONX NY 10468","-73.901","40.8733"
"102905","3132 PERRY AVENUE BRONX NY 10467","-73.878","40.8732"
"120419","2844 WEBB AVENUE BRONX NY 10468","-73.9007","40.873"
"87425","3120 HULL AVENUE BRONX NY 10467","-73.8777","40.8725"
"60277","3233 CRUGER AVENUE BRONX NY 10467","-73.8664","40.8724"
"123222","3233 WHITE PLAINS ROAD BRONX NY 10467","-73.8675","40.8724"
"89804","2750 KINGSBRIDGE TERRACE BRONX NY 10463","-73.903","40.8722"
"85946","3215 HOLLAND AVENUE BRONX NY 10467","-73.8655","40.872"
"87409","3055 HULL AVENUE BRONX NY 10467","-73.8795","40.8719"
"60268","3213 CRUGER AVENUE BRONX NY 10467","-73.8664","40.8719"
"87408","3053 HULL AVENUE BRONX NY 10467","-73.8796","40.8719"
"122091","212 WEST KINGSBRIDGE ROAD BRONX NY 10463","-73.9047","40.8719"
"67361","365 EAST 204 STREET BRONX NY 10467","-73.877","40.8718"
"109228","3153 SEYMOUR AVENUE BRONX NY 10469","-73.8469","40.8718"
"54110","713 BURKE AVENUE BRONX NY 10467","-73.8666","40.8717"
"54115","729 BURKE AVENUE BRONX NY 10467","-73.8656","40.8717"
"84203","2709 HEATH AVENUE BRONX NY 10463","-73.9057","40.8717"
"54116","731 BURKE AVENUE BRONX NY 10467","-73.8655","40.8717"
"54130","785 BURKE AVENUE BRONX NY 10467","-73.8634","40.8716"
"60898","3067 DECATUR AVENUE BRONX NY 10467","-73.879","40.8713"
"123822","2962 WICKHAM AVENUE BRONX NY 10469","-73.8379","40.8707"
"52399","3031 BRONXWOOD AVENUE BRONX NY 10469","-73.8617","40.8706"
"121310","125 WEST 195 STREET BRONX NY 10468","-73.901","40.8705"
